 sel1 | sel0 | line00 | line01 | line10 | line11 || mux4 
------+------+--------+--------+--------+--------++------
    0 |    0 |      0 |      0 |      0 |      0 || 0    
    0 |    0 |      0 |      0 |      0 |      1 || 0    
    0 |    0 |      0 |      0 |      1 |      0 || 0    
    0 |    0 |      0 |      0 |      1 |      1 || 0    
    0 |    0 |      0 |      1 |      0 |      0 || 0    
    0 |    0 |      0 |      1 |      0 |      1 || 0    
    0 |    0 |      0 |      1 |      1 |      0 || 0    
    0 |    0 |      0 |      1 |      1 |      1 || 0    
    0 |    0 |      1 |      0 |      0 |      0 || 1    
    0 |    0 |      1 |      0 |      0 |      1 || 1    
    0 |    0 |      1 |      0 |      1 |      0 || 1    
    0 |    0 |      1 |      0 |      1 |      1 || 1    
    0 |    0 |      1 |      1 |      0 |      0 || 1    
    0 |    0 |      1 |      1 |      0 |      1 || 1    
    0 |    0 |      1 |      1 |      1 |      0 || 1    
    0 |    0 |      1 |      1 |      1 |      1 || 1    
    0 |    1 |      0 |      0 |      0 |      0 || 0    
    0 |    1 |      0 |      0 |      0 |      1 || 0    
    0 |    1 |      0 |      0 |      1 |      0 || 0    
    0 |    1 |      0 |      0 |      1 |      1 || 0    
    0 |    1 |      0 |      1 |      0 |      0 || 1    
    0 |    1 |      0 |      1 |      0 |      1 || 1    
    0 |    1 |      0 |      1 |      1 |      0 || 1    
    0 |    1 |      0 |      1 |      1 |      1 || 1    
    0 |    1 |      1 |      0 |      0 |      0 || 0    
    0 |    1 |      1 |      0 |      0 |      1 || 0    
    0 |    1 |      1 |      0 |      1 |      0 || 0    
    0 |    1 |      1 |      0 |      1 |      1 || 0    
    0 |    1 |      1 |      1 |      0 |      0 || 1    
    0 |    1 |      1 |      1 |      0 |      1 || 1    
    0 |    1 |      1 |      1 |      1 |      0 || 1    
    0 |    1 |      1 |      1 |      1 |      1 || 1    
    1 |    0 |      0 |      0 |      0 |      0 || 0    
    1 |    0 |      0 |      0 |      0 |      1 || 0    
    1 |    0 |      0 |      0 |      1 |      0 || 1    
    1 |    0 |      0 |      0 |      1 |      1 || 1    
    1 |    0 |      0 |      1 |      0 |      0 || 0    
    1 |    0 |      0 |      1 |      0 |      1 || 0    
    1 |    0 |      0 |      1 |      1 |      0 || 1    
    1 |    0 |      0 |      1 |      1 |      1 || 1    
    1 |    0 |      1 |      0 |      0 |      0 || 0    
    1 |    0 |      1 |      0 |      0 |      1 || 0    
    1 |    0 |      1 |      0 |      1 |      0 || 1    
    1 |    0 |      1 |      0 |      1 |      1 || 1    
    1 |    0 |      1 |      1 |      0 |      0 || 0    
    1 |    0 |      1 |      1 |      0 |      1 || 0    
    1 |    0 |      1 |      1 |      1 |      0 || 1    
    1 |    0 |      1 |      1 |      1 |      1 || 1    
    1 |    1 |      0 |      0 |      0 |      0 || 0    
    1 |    1 |      0 |      0 |      0 |      1 || 1    
    1 |    1 |      0 |      0 |      1 |      0 || 0    
    1 |    1 |      0 |      0 |      1 |      1 || 1    
    1 |    1 |      0 |      1 |      0 |      0 || 0    
    1 |    1 |      0 |      1 |      0 |      1 || 1    
    1 |    1 |      0 |      1 |      1 |      0 || 0    
    1 |    1 |      0 |      1 |      1 |      1 || 1    
    1 |    1 |      1 |      0 |      0 |      0 || 0    
    1 |    1 |      1 |      0 |      0 |      1 || 1    
    1 |    1 |      1 |      0 |      1 |      0 || 0    
    1 |    1 |      1 |      0 |      1 |      1 || 1    
    1 |    1 |      1 |      1 |      0 |      0 || 0    
    1 |    1 |      1 |      1 |      0 |      1 || 1    
    1 |    1 |      1 |      1 |      1 |      0 || 0    
    1 |    1 |      1 |      1 |      1 |      1 || 1    
